City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,iskateley,67.6803,53.1512,16.43,73,100,2.67,RU,1690226243
135,glenmore park,-33.7907,150.6693,8.97,85,43,1.54,AU,1690226357
136,haiku-pauwela,20.9219,-156.3051,27.32,65,20,9.26,US,1690226344
137,badger,64.8,-147.5333,26.1,61,40,0.0,US,1690226357
138,vorgashor,67.5833,63.95,16.66,71,100,1.71,RU,1690226358
139,kavieng,-2.5744,150.7967,27.3,78,100,4.51,PG,1690226358
140,salaqi,40.5414,110.5108,22.23,47,7,3.59,CN,1690226358
141,san jacinto,33.7839,-116.9586,40.75,26,1,2.68,US,1690226060
142,kodiak,57.79,-152.4072,12.73,76,100,4.12,US,1690226358
143,pokhara,28.2333,83.9833,22.85,86,91,0.7,NP,1690226358
144,noosa heads,-26.3833,153.15,15.19,70,91,9.45,AU,1690226359
145,budennovsk,44.7839,44.1658,22.52,73,35,3.5,RU,1690226359
146,coahuayana de hidalgo,18.7,-103.6583,31.68,60,100,2.34,MX,1690226359
147,turgen,43.4006,77.5933,21.07,34,5,3.79,KZ,1690226359
148,east end,34.5507,-92.341,36.18,51,7,2.16,US,1690226359
149,fuding,27.3273,120.214,24.52,97,21,1.11,CN,1690226359
150,invercargill,-46.4,168.35,7.02,88,100,3.96,NZ,1690226360
151,la passe,45.5549,-0.8967,21.13,75,89,7.41,FR,1690226360
152,bacalar,18.6667,-88.3833,33.06,58,40,6.17,MX,1690226360
153,aktau,43.65,51.2,29.32,38,86,8.56,KZ,1690226360
154,princeville,45.7668,-61.2985,29.8,63,0,4.12,CA,1690226360
155,isafjordur,66.0755,-23.124,10.35,93,100,2.2,IS,1690226360
156,likasi,-10.9814,26.7333,18.38,41,0,1.7,CD,1690226093
157,lerwick,60.1545,-1.1494,12.0,84,69,6.99,GB,1690226361
158,amos,48.5669,-78.1162,17.82,93,100,2.66,CA,1690226103
159,tsiombe,-25.3,45.4833,16.86,89,44,1.53,MG,1690226361
160,fale old settlement,-9.3852,-171.2468,28.73,71,9,7.85,TK,1690226361
161,endicott,42.0984,-76.0494,28.53,64,40,5.14,US,1690226361
162,alesund,62.4723,6.1549,16.06,84,75,6.69,NO,1690226361
163,tual,-5.6667,132.75,25.24,76,70,11.32,ID,1690226362
164,gunjur,13.2019,-16.7339,29.04,79,75,3.6,GM,1690226362
165,kavali,14.9167,79.9833,25.7,85,100,10.41,IN,1690226362
166,crane,31.3974,-102.3501,37.65,16,0,5.62,US,1690226362
167,jinxiang,27.4327,120.6062,25.94,91,22,1.85,CN,1690226362
168,nova vicosa,-17.8919,-39.3719,23.29,77,13,4.41,BR,1690226362
169,mersing,2.4312,103.8405,24.95,94,20,2.57,MY,1690226363
170,tralee,52.2704,-9.7026,13.8,81,100,3.47,IE,1690226363
171,kargasok,59.0556,80.8572,15.59,93,13,2.41,RU,1690226363
172,callao,-12.0667,-77.15,24.16,53,20,5.66,PE,1690226230
173,necochea,-38.5473,-58.7368,8.72,58,75,4.29,AR,1690226363
174,magadan,59.5667,150.8,13.7,65,4,1.98,RU,1690226364
175,grand falls-windsor,48.9332,-55.6649,26.12,65,100,4.24,CA,1690226364
176,thompson,55.7435,-97.8558,25.09,36,20,4.12,CA,1690226293
177,ormond-by-the-sea,29.3491,-81.0665,25.05,95,75,5.14,US,1690226364
178,palangkaraya,-2.2,113.8333,22.46,98,78,1.02,ID,1690226365
179,mount isa,-20.7333,139.5,11.87,58,37,6.69,AU,1690226365
